RESOLUCIÓN_MEDIANTE_LA_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES resolución_mediante_la_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones NP00000 1
, , Fc 1
atendiendo atender VMG0000 1
a a SP 1
el el DA0MS0 1
numeral numeral NCMS000 0.349312
reclamado reclamar VMP00SM 1
, , Fc 1
no no RN 0.999297
existe existir VMIP3S0 0.997925
una uno DI0FS0 0.951973
total total AQ0CS00 0.594697
libertad libertad NCFS000 0.998188
tarifaria tarifario AQ0FS00 1
en_materia_de en_materia_de SP 1
interconexión interconexión NCFS000 1
, , Fc 1
pues pues CS 0.999049
incluso incluso RG 0.998488
las el DA0FP0 0.988184
tarifas tarifa NCFP000 0.992958
convenidas convenir VMP00PF 1
entre entre SP 0.980341
las el DA0FP0 0.988184
partes parte NCCP000 0.997076
se se P00CN00 0.494509
encuentran encontrar VMIP3P0 1
limitadas limitar VMP00PF 1
por por SP 1
un uno DI0MS0 0.99698
marco marco NCMS000 0.996894
legal legal AQ0CS00 1
que que PR0CN00 0.550139
ha haber VAIP3S0 0.999889
sido ser VSP00SM 1
expuesto exponer VMP00SM 1
en en SP 1
la el DA0FS0 0.98926
presente presente AQ0CS00 0.524254
sentencia sentencia NCFS000 0.972286
. . Fp 1

( ( Fpa 1
II ii NP00000 0.47288
) ) Fpt 1
De de NP00000 1
igual igual AQ0CS00 0.592493
forma forma NCFS000 0.987798
, , Fc 1
la el DA0FS0 0.98926
disposición disposición NCFS000 1
es ser VSIP3S0 1
constitucional constitucional AQ0CS00 1
, , Fc 1
pues pues CS 0.999049
permite permitir VMIP3S0 0.997312
que que CS 0.449861
el el DA0MS0 1
órgano órgano NCMS000 1
regulador regulador AQ0MS00 0.97619
despliegue desplegar VMSP3S0 0.0135135
y y CC 0.999989
ejerza ejercer VMSP1S0 0.634863
de de SP 0.999961
manera manera NCFS000 1
plena pleno AQ0FS00 1
las el DA0FP0 0.988184
facultades facultad NCFP000 1
que que PR0CN00 0.550139
constitucional constitucional AQ0CS00 1
y y CC 0.999989
legalmente legalmente RG 1
tiene tener VMIP3S0 1
asignadas asignar VMP00PF 1
. . Fp 1

Lo el DA00S0 0.665165
anterior anterior AQ0CS00 1
se se P00CN00 0.494509
debe deber VMIP3S0 0.998712
a a SP 0.998775
que que CS 0.449861
el el DA0MS0 1
precepto precepto NCMS000 1
reclamado reclamar VMP00SM 1
reconoce reconocer VMIP3S0 0.942708
que que CS 0.449861
se se P00CN00 0.494509
continuará continuar VMIF3S0 1
con con SP 1
las el DA0FP0 0.988184
tarifas tarifa NCFP000 0.992958
que que PR0CN00 0.550139
se se P00CN00 0.494509
venían venir VMII3P0 1
aplicando aplicar VMG0000 1
, , Fc 1
hasta hasta RG 0.0772506
en en SP 1
tanto tanto DI0MS0 0.109898
los el DA0MP0 0.992728
concesionarios concesionario NCMP000 0.62798
no no RN 0.999297
convengan convenir VMSP3P0 0.941964
en en SP 1
nuevas nuevo AQ0FP00 0.998891
condiciones condición NCFP000 0.998418
, , Fc 1
o o CC 0.999864
el el DA0MS0 1
Instituto_Federal_de_Telecomunicaciones instituto_federal_de_telecomunicaciones NP00000 1
fije fijar VMSP3S0 0.634859
aquéllas aquel PD0FP00 1
no no RN 0.999297
convenidas convenir VMP00PF 1
, , Fc 1
reconociendo reconocer VMG0000 1
por por SP 1
tanto tanto DI0MS0 0.109898
la el DA0FS0 0.98926
posibilidad posibilidad NCFS000 1
de de SP 0.999961
que que CS 0.449861
éste este PD0MS00 1
ejerza ejercer VMSP1S0 0.634863
sus su DP3CPN 0.999903
facultades facultad NCFP000 1
de de SP 0.999961
regulación regulación NCFS000 1
, , Fc 1
las el DA0FP0 0.988184
cuales cual PR0CP00 1
se se P00CN00 0.494509
deben deber VMIP3P0 1
entender entender VMN0000 0.994186
en en SP 1
el el DA0MS0 1
sentido sentido NCMS000 0.940835
de de SP 0.999961
que que CS 0.449861
el el DA0MS0 1
Instituto instituto NP00000 1
puede poder VMIP3S0 0.999693
, , Fc 1
en en SP 1
su su DP3CSN 1
caso caso NCMS000 0.999445
, , Fc 1
fijar fijar VMN0000 1
las el DA0FP0 0.988184
tarifas tarifa NCFP000 0.992958
aplicables aplicable AQ0CP00 1
a a SP 0.998775
todo todo DI0MS0 0.6662
dos_mil_quince 2015 Z 1
, , Fc 1
y y CC 0.999989
no no RN 0.999297
solamente solamente RG 1
las el DA0FP0 0.988184
que que PR0CN00 0.550139
se se P00CN00 0.494509
cobrarán cobrar VMIF3P0 1
a_partir_de a_partir_de SP 1
el el DA0MS0 1
dictado dictado NCMS000 0.476253
de de SP 0.999961
la el DA0FS0 0.98926
resolución resolución NCFS000 1
. . Fp 1

Esto este PD00S00 1
es ser VSIP3S0 1
, , Fc 1
la el DA0FS0 0.98926
expresión expresión NCFS000 1
“ “ Fra 1
hasta hasta SP 0.922749
en en SP 1
tanto tanto RG 0.806143
los el DA0MP0 0.992728
concesionarios concesionario NCMP000 0.62798
a a SP 0.998775
que que PR0CN00 0.550139
se se P00CN00 0.494509
refiere referir VMIP3S0 0.994186
ese ese DD0MS0 0.966694
inciso inciso NCMS000 0.33886
no no RN 0.999297
acuerden acordar VMSP3P0 0.941964
las el DA0FP0 0.988184
tarifas tarifa NCFP000 0.992958
de de SP 0.999961
interconexión interconexión NCFS000 1
correspondientes correspondiente AQ0CP00 0.980769
” ” Frc 1
, , Fc 1
implica implicar VMIP3S0 0.993421
que que CS 0.449861
hasta hasta SP 0.922749
dicho decir VMP00SM 0.997159
acuerdo acuerdo NCMS000 0.999311
se se P00CN00 0.494509
continuará continuar VMIF3S0 1
aplicando aplicar VMG0000 1
la el DA0FS0 0.98926
tarifa tarifa NCFS000 0.984962
previamente previamente RG 1
fijadas fijar VMP00PF 1
para para SP 0.999834
dos_mil_catorce 2014 Z 1
– – Fz 1
por por SP 1
los el DA0MP0 0.992728
concesionarios concesionario NCMP000 0.62798
o o CC 0.999864
por por SP 1
el el DA0MS0 1
órgano órgano NCMS000 1
regulador regulador AQ0MS00 0.97619
en en SP 1
la el DA0FS0 0.98926
fase fase NCFS000 1
de de SP 0.999961
desacuerdo desacuerdo NCMS000 0.97619
- - Fg 1
, , Fc 1
pero pero CC 0.999902
ello ello PD00S00 1
no no RN 0.999297
se se P00CN00 0.494509
traduce traducir VMIP3S0 0.989241
en en SP 1
que que CS 0.449861
: : Fd 1
a a SP 0.998775
) ) Fpt 1
el el DA0MS0 1
regulador regulador AQ0MS00 0.97619
pueda poder VMSP3S0 0.499421
declinar declinar VMN0000 1
la el DA0FS0 0.98926
resolución resolución NCFS000 1
de de SP 1
el el DA0MS0 1
desacuerdo desacuerdo NCMS000 0.97619
de de SP 0.999961
interconexión interconexión NCFS000 1
que que PR0CN00 0.550139
se se P00CN00 0.494509
le le PP3CSD0 1
presenta presentar VMIP3S0 0.995868
para para SP 0.999834
el el DA0MS0 1
periodo periodo NCMS000 1
ya ya RG 0.999785
transcurrido transcurrir VMP00SM 1
de de SP 0.999961
dos_mil_quince 2015 Z 1
hasta hasta SP 0.922749
el el DA0MS0 1
dictado dictado NCMS000 0.476253
de de SP 0.999961
su su DP3CSN 1
resolución resolución NCFS000 1
; ; Fx 1
o o CC 0.999864
b b NCFS000 1
) ) Fpt 1
que que PR0CN00 0.550139
pueda poder VMSP3S0 0.499421
resolver resolver VMN0000 1
el el DA0MS0 1
desacuerdo desacuerdo NCMS000 0.97619
para para SP 0.999834
dos_mil_quince 2015 Z 1
simplemente simplemente RG 1
aplicando aplicar VMG0000 1
las el DA0FP0 0.988184
tarifas tarifa NCFP000 0.992958
de de SP 0.999961
dos_mil_catorce 2014 Z 1
– – Fz 1
con con SP 1
independencia independencia NCFS000 1
de de SP 0.999961
que que CS 0.449861
a a SP 1
el el DA0MS0 1
aplicar aplicar VMN0000 1
el el DA0MS0 1
modelo modelo NCCS000 0.99763
de de SP 0.999961
costos costo NCMP000 1
correspondiente correspondiente AQ0CS00 0.993421
conforme_a conforme_a SP 1
la el DA0FS0 0.98926
ley ley NCFS000 1
vigente vigente AQ0CS00 1
, , Fc 1
la el DA0FS0 0.98926
tarifa tarifa NCFS000 0.984962
pueda poder VMSP3S0 0.499421
coincidir coincidir VMN0000 1
numéricamente numéricamente RG 1
con con SP 1
la el DA0FS0 0.98926
de de SP 1
el el DA0MS0 1
año año NCMS000 1
anterior anterior AQ0CS00 1
- - Fg 1
. . Fp 1

En en SP 1
otras otro DI0FP0 0.865408
palabras palabra NCFP000 1
, , Fc 1
no no RN 0.999297
existe existir VMIP3S0 0.997925
fundamento fundamento NCMS000 0.97619
normativo normativo AQ0MS00 1
para para SP 0.999834
afirmar afirmar VMN0000 1
que que CS 0.449861
la el DA0FS0 0.98926
nueva nuevo AQ0FS00 0.993421
tarifa tarifa NCFS000 0.984962
únicamente únicamente RG 1
pueda poder VMSP3S0 0.499421
tener tener VMN0000 1
efectos efecto NCMP000 1
a_partir_de a_partir_de SP 1
la el DA0FS0 0.98926
celebración celebración NCFS000 1
de de SP 1
el el DA0MS0 1
convenio convenio NCMS000 1
o o CC 0.999864
de de SP 0.999961
la el DA0FS0 0.98926
emisión emisión NCFS000 1
de de SP 0.999961
la el DA0FS0 0.98926
resolución resolución NCFS000 1
de de SP 1
el el DA0MS0 1
desacuerdo desacuerdo NCMS000 0.97619
respectivo respectivo AQ0MS00 1
; ; Fx 1
por_lo_tanto por_lo_tanto RG 1
el el DA0MS0 1
precepto precepto NCMS000 1
reclamado reclamar VMP00SM 1
permite permitir VMIP3S0 0.997312
que que CS 0.449861
el el DA0MS0 1
órgano órgano NCMS000 1
regulador regulador AQ0MS00 0.97619
fije fijar VMSP3S0 0.634859
las el DA0FP0 0.988184
condiciones condición NCFP000 0.998418
para para SP 0.999834
todo todo DI0MS0 0.6662
el el DA0MS0 1
periodo periodo NCMS000 1
en en SP 1
cuestión cuestión NCFS000 1
– – Fz 1
iniciando iniciar VMG0000 1
en en SP 1
el el DA0MS0 1
caso caso NCMS000 0.999445
que que PR0CN00 0.550139
se se P00CN00 0.494509
analiza analizar VMIP3S0 0.986111
el el DA0MS0 1
primero 1 AO0MS00 0.686916
de de SP 0.999961
enero [??:??/1/??:??.??:??] W 1
- - Fg 1
, , Fc 1
pudiendo poder VMG0000 1
ejercer ejercer VMN0000 1
sus su DP3CPN 0.999903
facultades facultad NCFP000 1
para para SP 0.999834
resolver resolver VMN0000 1
efectivamente efectivamente RG 1
lo el DA00S0 0.665165
planteado plantear VMP00SM 1
por por SP 1
las el DA0FP0 0.988184
partes parte NCCP000 0.997076
para para SP 0.999834
dos_mil_quince 2015 Z 1
, , Fc 1
a_partir_de a_partir_de SP 1
una uno DI0FS0 0.951973
metodología metodología NCFS000 1
de de SP 0.999961
costos costo NCMP000 1
que que PR0CN00 0.550139
en en SP 1
términos término NCMP000 1
de de SP 0.999961
la el DA0FS0 0.98926
ley ley NCFS000 1
vigente vigente AQ0CS00 1
considere considerar VMSP3S0 0.493976
por_ejemplo por_ejemplo RG 1
, , Fc 1
las el DA0FP0 0.988184
asimetrías asimetría NCFP000 1
de de SP 0.999961
las el DA0FP0 0.988184
redes red NCFP000 0.990196
, , Fc 1
la el DA0FS0 0.98926
participación participación NCFS000 1
de de SP 0.999961
mercado mercado NCMS000 0.999343
de de SP 0.999961
los el DA0MP0 0.992728
concesionarios concesionario NCMP000 0.62798
y y CC 0.999989
cualquier cualquiera DI0CS0 1
otra otro DI0FS0 0.740893
variable variable NCFS000 0.338706
relevante relevante AQ0CS00 1
para para SP 0.999834
determinar determinar VMN0000 1
el el DA0MS0 1
costos costo NCMP000 1
de de SP 0.999961
interconexión interconexión NCFS000 1
, , Fc 1
tal tal DD0CS0 0.672764
interpretación interpretación NCFS000 1
es ser VSIP3S0 1
más más RG 0.99993
armónica armónico AQ0FS00 0.593609
no no RN 0.999297
solo solo AQ0MS00 0.787529
con con SP 1
el el DA0MS0 1
conjunto conjunto NCMS000 0.866375
de de SP 0.999961
normas norma NCFP000 1
aplicables aplicable AQ0CP00 1
en_materia_de en_materia_de SP 1
interconexión interconexión NCFS000 1
, , Fc 1
sino sino CC 0.999154
con con SP 1
la el DA0FS0 0.98926
naturaleza naturaleza NCFS000 1
regulatoria regulatoria AQ0FS00 0.314657
de de SP 1
el el DA0MS0 1
Instituto_Federal_de_Telecomunicaciones instituto_federal_de_telecomunicaciones NP00000 1
prevista prever VMP00SF 1
a a SP 0.998775
nivel nivel NCMS000 1
constitucional constitucional AQ0CS00 1
y y CC 0.999989
legal legal AQ0CS00 1
. . Fp 1

[ [ Fca 1
… … Fz 1
] ] Fct 1
( ( Fpa 1
III iii NP00000 1
) ) Fpt 1
Por por NP00000 1
otra otro DI0FS0 0.740893
parte parte NCCS000 0.977711
, , Fc 1
la el DA0FS0 0.98926
disposición disposición NCFS000 1
dota dotar VMIP3S0 0.989241
de de SP 0.999961
certeza certeza NCFS000 1
, , Fc 1
tanto tanto RG 0.806143
a a SP 0.998775
los el DA0MP0 0.992728
concesionarios concesionario NCMP000 0.62798
, , Fc 1
así_como así_como CC 1
a a SP 0.998775
las el DA0FP0 0.988184
autoridades autoridad NCFP000 1
y y CC 0.999989
usuarios usuario NCMP000 0.78169
en en SP 1
general general NCCS000 0.173788
, , Fc 1
sobre sobre SP 0.997804
qué qué DT0CN0 0.216289
tarifas tarifa NCFP000 0.992958
deben deber VMIP3P0 1
aplicar aplicar VMN0000 1
se se PP3CN00 1
hasta hasta SP 0.922749
que que CS 0.449861
se se P00CN00 0.494509
realice realizar VMSP3S0 0.534863
un uno DI0MS0 0.99698
convenio convenio NCMS000 1
o o CC 0.999864
el el DA0MS0 1
órgano órgano NCMS000 1
regulador regulador AQ0MS00 0.97619
fije fijar VMSP3S0 0.634859
las el DA0FP0 0.988184
condiciones condición NCFP000 0.998418
de de SP 0.999961
interconexión interconexión NCFS000 1
no no RN 0.999297
convenidas convenir VMP00PF 1
; ; Fx 1
esto este PD00S00 1
es ser VSIP3S0 1
, , Fc 1
genera generar VMIP3S0 0.98913
un uno DI0MS0 0.99698
escenario escenario NCMS000 1
de de SP 0.999961
previsibilidad previsibilidad NCFS000 1
– – Fz 1
jurídica jurídico AQ0FS00 1
y y CC 0.999989
económica económico AQ0FS00 1
- - Fg 1
. . Fp 1

Ante ante SP 0.999744
una uno DI0FS0 0.951973
situación situación NCFS000 1
de de SP 0.999961
potencial potencial AQ0CS00 0.254098
incertidumbre incertidumbre NCFS000 1
por por SP 1
un uno DI0MS0 0.99698
nuevo nuevo AQ0MS00 1
sistema sistema NCMS000 1
normativo normativo AQ0MS00 1
. . Fp 1

Sin sin SP 1
embargo embargo NCMS000 0.995283
, , Fc 1
cabe caber VMIP3S0 0.975904
recordar recordar VMN0000 1
que que CS 0.449861
las el DA0FP0 0.988184
tarifas tarifa NCFP000 0.992958
que que PR0CN00 0.550139
serán ser VSIF3P0 1
aplicables aplicable AQ0CP00 1
mientras mientras CS 0.88835
tanto tanto RG 0.806143
, , Fc 1
serán ser VSIF3P0 1
las el DA0FP0 0.988184
concernientes concerniente AQ0CP00 1
a a SP 0.998775
dos_mil_catorce 2014 Z 1
, , Fc 1
esto este PD00S00 1
es ser VSIP3S0 1
, , Fc 1
tarifas tarifa NCFP000 0.992958
que que PR0CN00 0.550139
ya ya RG 0.999785
habían haber VAII3P0 0.99884
sido ser VSP00SM 1
acordadas acordar VMP00PF 0.623683
con con SP 1
anterioridad anterioridad NCFS000 1
por por SP 1
los el DA0MP0 0.992728
mismos mismo AQ0MP00 0.52924
concesionarios concesionario NCMP000 0.62798
– – Fz 1
o o CC 0.999864
fijadas fijar VMP00PF 1
por por SP 1
el el DA0MS0 1
órgano órgano NCMS000 1
regulador regulador AQ0MS00 0.97619
- - Fg 1
. . Fp 1

En en SP 1
otras otro DI0FP0 0.865408
palabras palabra NCFP000 1
, , Fc 1
no no RN 0.999297
se se P00CN00 0.494509
impone imponer VMIP3S0 1
una uno DI0FS0 0.951973
tarifa tarifa NCFS000 0.984962
desconocida desconocer VMP00SF 0.623747
para para SP 0.999834
los el DA0MP0 0.992728
concesionarios concesionario NCMP000 0.62798
, , Fc 1
sino_que sino_que CC 1
se se P00CN00 0.494509
permite permitir VMIP3S0 0.997312
que que CS 0.449861
se se P00CN00 0.494509
continúe continuar VMSP3S0 0.634863
con con SP 1
la el DA0FS0 0.98926
aplicación aplicación NCFS000 1
de de SP 0.999961
tarifas tarifa NCFP000 0.992958
que que PR0CN00 0.550139
durante durante SP 1
dos_mil_catorce 2014 Z 1
ya ya RG 0.999785
contaron contar VMIS3P0 1
con con SP 1
la el DA0FS0 0.98926
aprobación aprobación NCFS000 1
de de SP 0.999961
los el DA0MP0 0.992728
concesionarios concesionario NCMP000 0.62798
– – Fz 1
o o CC 0.999864
con con SP 1
la el DA0FS0 0.98926
autorización autorización NCFS000 1
de de SP 0.999961
la el DA0FS0 0.98926
autoridad autoridad NCFS000 1
- - Fg 1
. . Fp 1

Por por SP 1
tanto tanto RG 0.806143
, , Fc 1
las el DA0FP0 0.988184
tarifas tarifa NCFP000 0.992958
que que PR0CN00 0.550139
se se P00CN00 0.494509
continuarán continuar VMIF3P0 1
aplicando aplicar VMG0000 1
también también RG 1
implican implicar VMIP3P0 1
una uno DI0FS0 0.951973
observancia observancia NCFS000 1
a a SP 1
el el DA0MS0 1
principio principio NCMS000 0.997238
de de SP 0.999961
libertad libertad NCFS000 0.998188
tarifaria tarifario AQ0FS00 1
, , Fc 1
pues pues CS 0.999049
se se P00CN00 0.494509
trata tratar VMIP3S0 0.985594
de de SP 0.999961
tarifas tarifa NCFP000 0.992958
que que PR0CN00 0.550139
en en SP 1
su su DP3CSN 1
momento momento NCMS000 1
ya ya RG 0.999785
fueron ser VSIS3P0 0.933213
acordadas acordar VMP00PF 0.623683
por por SP 1
los el DA0MP0 0.992728
concesionarios concesionario NCMP000 0.62798
. . Fp 1

Si si CS 0.999827
bien bien RG 0.876088
se se P00CN00 0.494509
podría poder VMIC3S0 0.643878
argumentar argumentar VMN0000 1
que que CS 0.449861
tales tal DD0CP0 0.742331
tarifas tarifa NCFP000 0.992958
fueron ser VSIS3P0 0.933213
acordadas acordar VMP00PF 0.623683
– – Fz 1
o o CC 0.999864
fijadas fijar VMP00PF 1
- - Fg 1
únicamente únicamente RG 1
con con SP 1
la el DA0FS0 0.98926
intención intención NCFS000 1
de de SP 0.999961
que que CS 0.449861
fueran ser VSSI3P0 0.827869
aplicadas aplicar VMP00PF 1
durante durante SP 1
dos_mil_catorce 2014 Z 1
, , Fc 1
sin sin SP 1
que que CS 0.449861
se se P00CN00 0.494509
hubiere haber VASF1S0 0.459821
previsto prever VMP00SM 1
su su DP3CSN 1
posterior posterior AQ0CS00 1
aplicación aplicación NCFS000 1
, , Fc 1
lo el DA00S0 0.665165
cierto cierto AQ0MS00 0.743644
es ser VSIP3S0 1
que que CS 0.449861
tal tal DD0CS0 0.672764
situación situación NCFS000 1
durante durante SP 1
dos_mil_quince 2015 Z 1
permite permitir VMIP3S0 0.997312
que que CS 0.449861
existe existir VMIP3S0 0.997925
certeza certeza NCFS000 1
sobre sobre SP 0.997804
las el DA0FP0 0.988184
condiciones condición NCFP000 0.998418
que que PR0CN00 0.550139
deberán deber VMIF3P0 1
emplear emplear VMN0000 1
se se PP3CN00 1
hasta hasta SP 0.922749
en en SP 1
tanto tanto RG 0.806143
no no RN 0.999297
se se P00CN00 0.494509
fijen fijar VMSP3P0 0.941964
las el DA0FP0 0.988184
nuevas nuevo AQ0FP00 0.998891
– – Fz 1
ya ya RG 0.999785
sea ser VSSP1S0 0.49434
por por SP 1
los el DA0MP0 0.992728
concesionarios concesionario NCMP000 0.62798
o o CC 0.999864
por por SP 1
el el DA0MS0 1
órgano órgano NCMS000 1
regulador regulador AQ0MS00 0.97619
- - Fg 1
, , Fc 1
aunado aunar VMP00SM 1
a a SP 0.998775
que que CS 0.449861
esta este DD0FS0 0.978817
aplicación aplicación NCFS000 1
no no RN 0.999297
impide impedir VMIP3S0 0.992424
que que CS 0.449861
exista existir VMSP3S0 0.497942
un uno DI0MS0 0.99698
“ “ Fra 1
pago pago NCMS000 0.995283
por por SP 1
diferencias diferencia NCFP000 0.996454
” ” Frc 1
sobre sobre SP 0.997804
las el DA0FP0 0.988184
tarifas tarifa NCFP000 0.992958
efectivamente efectivamente RG 1
cobradas cobrar VMP00PF 1
, , Fc 1
para para SP 0.999834
ajustar ajustar VMN0000 1
los el DA0MP0 0.992728
montos monto NCMP000 1
a a SP 0.998775
las el DA0FP0 0.988184
nuevas nuevo AQ0FP00 0.998891
condiciones condición NCFP000 0.998418
. . Fp 1

( ( Fpa 1
IV iv NP00000 0.47288
) ) Fpt 1
Finalmente finalmente NP00000 1
, , Fc 1
la el DA0FS0 0.98926
disposición disposición NCFS000 1
reclamada reclamar VMP00SF 1
es ser VSIP3S0 1
constitucional constitucional AQ0CS00 1
, , Fc 1
en en SP 1
tanto tanto RG 0.806143
en en SP 1
su su DP3CSN 1
interpretación interpretación NCFS000 1
y y CC 0.999989
aplicación aplicación NCFS000 1
se se P00CN00 0.494509
tome tomar VMSP3S0 0.493976
en en SP 1
consideración consideración NCFS000 1
la el DA0FS0 0.98926
necesaria necesario AQ0FS00 1
compensación compensación NCFS000 1
o o CC 0.999864
‘ ‘ Fra 1
pago pago NCMS000 0.995283
por por SP 1
diferencias diferencia NCFP000 0.996454
’ ’ Frc 1
que que PR0CN00 0.550139
tiene tener VMIP3S0 1
que que CS 0.449861
existir existir VMN0000 1
en_torno_a en_torno_a SP 1
las el DA0FP0 0.988184
tarifas tarifa NCFP000 0.992958
que que PR0CN00 0.550139
fueron ser VSIS3P0 0.933213
cobradas cobrar VMP00PF 1
antes_de antes_de SP 1
celebrado celebrar VMP00SM 1
el el DA0MS0 1
convenio convenio NCMS000 1
o o CC 0.999864
previo previo AQ0MS00 0.983871
a a SP 0.998775
que que CS 0.449861
el el DA0MS0 1
órgano órgano NCMS000 1
regulador regulador AQ0MS00 0.97619
fijara fijar VMSI3S0 0.500013
las el DA0FP0 0.988184
condiciones condición NCFP000 0.998418
no no RN 0.999297
convenidas convenir VMP00PF 1
. . Fp 1

[ [ Fca 1
… … Fz 1
] ] Fct 1
Lo lo NP00000 1
anterior anterior AQ0CS00 1
, , Fc 1
es ser VSIP3S0 1
coincidente coincidente AQ0CS00 1
con con SP 1
lo el DA00S0 0.665165
resuelto resolver VMP00SM 1
por por SP 1
el el DA0MS0 1
Tribunal_Pleno tribunal_pleno NP00000 1
de de SP 0.999961
esta este DD0FS0 0.978817
Suprema_Corte suprema_corte NP00000 1
en en SP 1
la el DA0FS0 0.98926
contradicción contradicción NCFS000 1
de de SP 0.999961
tesis tesis NCFN000 1
268/2010 268/2010 Z 1
, , Fc 1
en en SP 1
la el DA0FS0 0.98926
que que PR0CN00 0.550139
se se P00CN00 0.494509
determinó determinar VMIS3S0 1
que que CS 0.449861
las el DA0FP0 0.988184
condiciones condición NCFP000 0.998418
de de SP 0.999961
interconexión interconexión NCFS000 1
siempre siempre RG 1
deben deber VMIP3P0 1
de de SP 0.999961
considerar considerar VMN0000 1
se se PP3CN00 1
de de SP 0.999961
interés interés NCMS000 1
social social AQ0CS00 0.998783
, , Fc 1
pues pues CS 0.999049
forman_parte formar_parte VMIP3P0 1
de de SP 0.999961
todo todo DI0MS0 0.6662
un uno DI0MS0 0.99698
sistema sistema NCMS000 1
legal legal AQ0CS00 1
dirigido dirigir VMP00SM 1
a a SP 1
el el DA0MS0 1
beneficio beneficio NCMS000 0.994505
